
Age,Age_Group,Gender,Region,Household_Type,Occupation,IPTV_Provider,Subscription_Type,Digital_Literacy,OTT_Viewing_Ratio
70,65+,Female,Other Urban,Three-Person,Homemaker,KT,Triple-Play,Low,0.14
41,35-44,Male,Rural Areas,Single,Professional/Managerial,LG U+,Triple-Play,Medium,0.8
48,45-54,Male,Other Urban,Single,Professional/Managerial,LG U+,Individual,High,0.49
35,35-44,Male,Other Urban,Three-Person,Office Worker,Other,Family,High,0.79
52,45-54,Male,Other Urban,Two-Person,Service Industry,LG U+,Triple-Play,Medium,0.83
19,18-24,Male,Rural Areas,Two-Person,Student,KT,Individual,High,0.47
38,35-44,Female,Other Urban,Single,Professional/Managerial,KT,Individual,High,0.49
67,65+,Female,Other Urban,Single,Homemaker,LG U+,Individual,Medium,0.52
31,25-34,Male,Other Urban,Two-Person,Professional/Managerial,SKB,Triple-Play,High,0.74
56,55-64,Female,Other Urban,Four-or-More,Homemaker,KT,Triple-Play,Low,0.41
32,25-34,Male,Other Urban,Single,Service Industry,SKB,Triple-Play,Low,0.1
60,55-64,Female,Other Urban,Four-or-More,Office Worker,Other,Triple-Play,Low,0.08
17,13-17,Female,Rural Areas,Single,Student,LG U+,Individual,High,0.85
73,65+,Male,Other Urban,Two-Person,Retired/Unemployed,SKB,Triple-Play,Low,0.14
39,35-44,Male,Seoul,Single,Office Worker,Other,Individual,High,0.95
29,25-34,Male,Other Urban,Two-Person,Office Worker,LG U+,Family,Medium,0.35
7,5-12,Male,Other Urban,Single,Student,KT,Individual,Low,0.25
20,18-24,Male,Rural Areas,Single,Student,KT,Individual,High,0.92
45,45-54,Female,Seoul,Four-or-More,Office Worker,SKB,Triple-Play,Medium,0.54
26,25-34,Female,Other Urban,Three-Person,Professional/Managerial,KT,Family,High,0.73
88,65+,Male,Other Urban,Three-Person,Retired/Unemployed,LG U+,Family,Low,0.02
35,35-44,Male,Rural Areas,Single,Office Worker,Other,Individual,Medium,0.43
31,25-34,Male,Rural Areas,Four-or-More,Professional/Managerial,KT,Family,Medium,0.55
49,45-54,Male,Other Urban,Two-Person,Professional/Managerial,LG U+,Individual,High,0.72
57,55-64,Female,Other Urban,Four-or-More,Retired/Unemployed,SKB,Triple-Play,Medium,0.52
21,18-24,Female,Seoul,Single,Student,SKB,Individual,High,0.94
21,18-24,Male,Other Urban,Single,Retired/Unemployed,LG U+,Triple-Play,Low,0.17
11,5-12,Female,Other Urban,Four-or-More,Student,SKB,Family,Low,0.24
61,55-64,Female,Other Urban,Two-Person,Professional/Managerial,LG U+,Individual,Low,0.18
63,55-64,Female,Other Urban,Four-or-More,Professional/Managerial,KT,Triple-Play,Low,0.13
36,35-44,Female,Other Urban,Single,Office Worker,SKB,Individual,High,0.57
72,65+,Male,Other Urban,Two-Person,Retired/Unemployed,KT,Family,Medium,0.79
63,55-64,Male,Other Urban,Four-or-More,Homemaker,SKB,Family,Medium,0.56
47,45-54,Male,Other Urban,Two-Person,Office Worker,KT,Individual,High,0.87
66,65+,Male,Seoul,Three-Person,Professional/Managerial,SKB,Family,Low,0.37
24,18-24,Female,Other Urban,Single,Student,KT,Individual,Medium,0.61
17,13-17,Male,Seoul,Single,Student,KT,Individual,High,0.94
29,25-34,Female,Other Urban,Single,Office Worker,KT,Triple-Play,Medium,0.4
6,5-12,Female,Other Urban,Two-Person,Student,LG U+,Individual,Low,0.45
49,45-54,Female,Other Urban,Three-Person,Office Worker,KT,Family,Medium,0.34
84,65+,Male,Rural Areas,Single,Retired/Unemployed,LG U+,Triple-Play,Low,0.28
9,5-12,Male,Other Urban,Two-Person,Student,KT,Triple-Play,Low,0.59
17,13-17,Male,Other Urban,Three-Person,Student,SKB,Family,High,0.58
38,35-44,Male,Seoul,Single,Office Worker,LG U+,Individual,High,0.8
70,65+,Female,Seoul,Four-or-More,Retired/Unemployed,KT,Family,Low,0.15
28,25-34,Male,Other Urban,Four-or-More,Office Worker,KT,Family,High,0.54
46,45-54,Male,Other Urban,Single,Service Industry,KT,Individual,Medium,0.39
5,5-12,Female,Other Urban,Single,Student,LG U+,Individual,Low,0.19
19,18-24,Female,Other Urban,Single,Service Industry,KT,Individual,Medium,0.48
89,65+,Male,Other Urban,Three-Person,Retired/Unemployed,SKB,Family,Low,0.41
90,65+,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Low,0.34
0,0-4,Male,Seoul,Three-Person,Student,SKB,Triple-Play,Low,0.33
89,65+,Male,Seoul,Two-Person,Retired/Unemployed,LG U+,Family,Low,0.19
47,45-54,Male,Seoul,Four-or-More,Homemaker,KT,Family,Low,0.16
65,65+,Female,Other Urban,Three-Person,Retired/Unemployed,LG U+,Family,Low,0.08
35,35-44,Female,Other Urban,Four-or-More,Office Worker,Other,Family,Medium,0.59
47,45-54,Female,Other Urban,Single,Office Worker,KT,Triple-Play,High,0.79
49,45-54,Female,Other Urban,Single,Office Worker,LG U+,Triple-Play,High,0.66
57,55-64,Male,Other Urban,Single,Office Worker,KT,Individual,Low,0.27
21,18-24,Male,Other Urban,Two-Person,Service Industry,LG U+,Family,Low,0.32
12,5-12,Male,Rural Areas,Two-Person,Student,KT,Family,Low,0.27
33,25-34,Female,Other Urban,Four-or-More,Office Worker,LG U+,Family,Medium,0.26
63,55-64,Male,Rural Areas,Three-Person,Retired/Unemployed,KT,Triple-Play,Low,0.16
20,18-24,Female,Seoul,Single,Student,LG U+,Individual,Medium,0.73
57,55-64,Female,Rural Areas,Three-Person,Homemaker,LG U+,Triple-Play,Low,0.17
76,65+,Male,Other Urban,Single,Professional/Managerial,KT,Individual,Low,0.16
17,13-17,Male,Rural Areas,Single,Student,KT,Individual,High,0.44
56,55-64,Female,Seoul,Four-or-More,Office Worker,LG U+,Family,Low,0.23
40,35-44,Female,Other Urban,Four-or-More,Office Worker,SKB,Triple-Play,High,0.94
71,65+,Male,Other Urban,Single,Retired/Unemployed,Other,Triple-Play,Low,0.11
22,18-24,Female,Other Urban,Three-Person,Office Worker,Other,Triple-Play,High,0.48
63,55-64,Female,Other Urban,Four-or-More,Homemaker,LG U+,Family,Low,0.31
79,65+,Male,Seoul,Single,Retired/Unemployed,SKB,Individual,Low,0.35
86,65+,Female,Other Urban,Single,Homemaker,KT,Individual,Low,0.11
57,55-64,Female,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Medium,0.8
49,45-54,Female,Other Urban,Three-Person,Office Worker,KT,Family,High,0.9
48,45-54,Male,Other Urban,Single,Office Worker,SKB,Individual,High,0.58
69,65+,Male,Seoul,Single,Professional/Managerial,KT,Triple-Play,Low,0.22
52,45-54,Female,Rural Areas,Three-Person,Office Worker,Other,Triple-Play,Medium,0.69
12,5-12,Female,Rural Areas,Three-Person,Student,KT,Family,Low,0.18
86,65+,Female,Rural Areas,Two-Person,Homemaker,Other,Family,Medium,0.34
55,55-64,Female,Rural Areas,Single,Service Industry,SKB,Triple-Play,Medium,0.56
62,55-64,Male,Other Urban,Four-or-More,Homemaker,KT,Triple-Play,Low,0.51
32,25-34,Male,Rural Areas,Three-Person,Office Worker,LG U+,Family,High,0.69
56,55-64,Female,Other Urban,Four-or-More,Retired/Unemployed,KT,Triple-Play,Low,0.3
38,35-44,Female,Other Urban,Four-or-More,Professional/Managerial,KT,Triple-Play,High,0.7
56,55-64,Female,Other Urban,Three-Person,Service Industry,LG U+,Family,Low,0.37
16,13-17,Female,Other Urban,Four-or-More,Student,KT,Triple-Play,Medium,0.57
64,55-64,Female,Other Urban,Four-or-More,Service Industry,KT,Triple-Play,Low,0.21
71,65+,Male,Seoul,Two-Person,Retired/Unemployed,KT,Triple-Play,Low,0.48
5,5-12,Male,Other Urban,Three-Person,Student,SKB,Family,Low,0.21
78,65+,Male,Other Urban,Three-Person,Retired/Unemployed,LG U+,Family,Medium,0.67
42,35-44,Female,Other Urban,Two-Person,Professional/Managerial,KT,Individual,High,0.76
80,65+,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Low,0.27
63,55-64,Female,Other Urban,Two-Person,Office Worker,KT,Triple-Play,Medium,0.32
52,45-54,Female,Other Urban,Single,Office Worker,SKB,Individual,Medium,0.22
56,55-64,Male,Other Urban,Single,Retired/Unemployed,SKB,Individual,Low,0.66
87,65+,Female,Rural Areas,Single,Retired/Unemployed,KT,Triple-Play,Low,0.13
36,35-44,Male,Seoul,Four-or-More,Office Worker,LG U+,Family,High,0.58
26,25-34,Male,Rural Areas,Two-Person,Office Worker,Other,Triple-Play,High,0.54
58,55-64,Male,Other Urban,Single,Homemaker,LG U+,Triple-Play,Medium,0.67
55,55-64,Male,Other Urban,Two-Person,Service Industry,KT,Family,Medium,0.35
59,55-64,Female,Other Urban,Single,Retired/Unemployed,SKB,Individual,Low,0.03
60,55-64,Male,Other Urban,Three-Person,Retired/Unemployed,LG U+,Family,Low,0.29
43,35-44,Male,Other Urban,Single,Service Industry,KT,Individual,Medium,0.41
74,65+,Male,Other Urban,Single,Retired/Unemployed,Other,Individual,Low,0.37
14,13-17,Female,Other Urban,Four-or-More,Student,Other,Triple-Play,High,0.73
45,45-54,Male,Seoul,Two-Person,Professional/Managerial,KT,Family,Medium,0.4
1,0-4,Female,Seoul,Four-or-More,Student,SKB,Triple-Play,Low,0.1
31,25-34,Male,Rural Areas,Two-Person,Service Industry,KT,Triple-Play,Low,0.52
38,35-44,Female,Other Urban,Single,Office Worker,KT,Individual,Medium,0.5
44,35-44,Male,Other Urban,Two-Person,Office Worker,LG U+,Family,High,0.65
59,55-64,Female,Other Urban,Single,Professional/Managerial,Other,Triple-Play,Low,0.26
41,35-44,Female,Other Urban,Single,Service Industry,Other,Individual,Low,0.24
37,35-44,Female,Rural Areas,Single,Office Worker,KT,Triple-Play,Medium,0.36
34,25-34,Female,Rural Areas,Three-Person,Service Industry,Other,Family,Low,0.45
36,35-44,Female,Other Urban,Three-Person,Service Industry,LG U+,Family,Medium,0.11
31,25-34,Female,Other Urban,Single,Student,LG U+,Triple-Play,High,0.54
9,5-12,Male,Seoul,Single,Student,Other,Triple-Play,Low,0.26
45,45-54,Male,Seoul,Four-or-More,Office Worker,SKB,Family,High,0.87
55,55-64,Male,Seoul,Single,Office Worker,KT,Individual,Low,0.29
53,45-54,Female,Rural Areas,Two-Person,Service Industry,KT,Triple-Play,Medium,0.27
39,35-44,Female,Seoul,Two-Person,Professional/Managerial,KT,Triple-Play,High,0.87
35,35-44,Female,Other Urban,Three-Person,Office Worker,LG U+,Triple-Play,Medium,0.58
87,65+,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Low,0.34
53,45-54,Male,Rural Areas,Four-or-More,Retired/Unemployed,SKB,Triple-Play,Low,0.32
35,35-44,Female,Other Urban,Two-Person,Office Worker,KT,Individual,High,0.8
1,0-4,Female,Other Urban,Single,Student,Other,Triple-Play,Low,0.04
28,25-34,Male,Seoul,Single,Office Worker,KT,Individual,High,0.67
37,35-44,Male,Other Urban,Single,Professional/Managerial,SKB,Individual,Medium,0.59
39,35-44,Male,Other Urban,Single,Office Worker,SKB,Individual,High,0.77
51,45-54,Male,Other Urban,Four-or-More,Professional/Managerial,KT,Family,High,0.8
52,45-54,Female,Other Urban,Single,Service Industry,LG U+,Triple-Play,Low,0.38
46,45-54,Female,Other Urban,Four-or-More,Retired/Unemployed,SKB,Family,Low,0.29
61,55-64,Female,Other Urban,Two-Person,Homemaker,SKB,Triple-Play,Low,0.32
78,65+,Female,Seoul,Single,Office Worker,LG U+,Triple-Play,Low,0.14
55,55-64,Female,Seoul,Single,Homemaker,KT,Individual,Medium,0.8
71,65+,Male,Other Urban,Two-Person,Retired/Unemployed,LG U+,Family,Medium,0.41
1,0-4,Female,Other Urban,Three-Person,Student,LG U+,Triple-Play,Low,0.11
18,18-24,Female,Other Urban,Four-or-More,Retired/Unemployed,LG U+,Family,Low,0.12
0,0-4,Female,Other Urban,Three-Person,Student,KT,Family,Low,0.13
50,45-54,Female,Rural Areas,Two-Person,Service Industry,KT,Individual,Medium,0.64
81,65+,Female,Other Urban,Single,Homemaker,SKB,Individual,Medium,0.75
27,25-34,Male,Seoul,Four-or-More,Student,KT,Family,Medium,0.39
70,65+,Male,Seoul,Four-or-More,Retired/Unemployed,KT,Triple-Play,Medium,0.4
7,5-12,Female,Seoul,Two-Person,Student,KT,Family,Low,0.12
88,65+,Male,Other Urban,Single,Homemaker,SKB,Individual,Low,0.15
39,35-44,Female,Other Urban,Three-Person,Service Industry,KT,Triple-Play,Medium,0.62
14,13-17,Male,Other Urban,Three-Person,Student,Other,Triple-Play,High,0.44
38,35-44,Female,Other Urban,Two-Person,Service Industry,LG U+,Family,Medium,0.57
33,25-34,Female,Rural Areas,Two-Person,Professional/Managerial,KT,Individual,High,0.87
28,25-34,Male,Seoul,Four-or-More,Office Worker,LG U+,Triple-Play,High,0.68
34,25-34,Female,Seoul,Single,Professional/Managerial,Other,Individual,High,0.39
64,55-64,Female,Rural Areas,Two-Person,Professional/Managerial,KT,Triple-Play,Low,0.09
52,45-54,Female,Other Urban,Single,Service Industry,KT,Individual,Low,0.4
29,25-34,Female,Other Urban,Single,Office Worker,KT,Individual,High,0.32
54,45-54,Female,Other Urban,Four-or-More,Service Industry,LG U+,Triple-Play,Medium,0.32
55,55-64,Male,Rural Areas,Two-Person,Homemaker,KT,Individual,Low,0.47
31,25-34,Male,Other Urban,Three-Person,Professional/Managerial,LG U+,Family,High,0.97
37,35-44,Male,Other Urban,Two-Person,Service Industry,LG U+,Family,Medium,0.65
14,13-17,Female,Other Urban,Three-Person,Student,LG U+,Triple-Play,High,0.67
23,18-24,Female,Other Urban,Two-Person,Student,SKB,Triple-Play,High,0.75
57,55-64,Female,Seoul,Single,Retired/Unemployed,SKB,Triple-Play,Medium,0.63
18,18-24,Female,Other Urban,Four-or-More,Student,KT,Family,High,0.79
49,45-54,Male,Seoul,Single,Service Industry,KT,Individual,Low,0.43
56,55-64,Female,Other Urban,Two-Person,Office Worker,SKB,Triple-Play,Low,0.18
15,13-17,Male,Other Urban,Two-Person,Student,Other,Family,High,0.7
48,45-54,Female,Other Urban,Single,Office Worker,LG U+,Individual,High,0.9
25,25-34,Female,Seoul,Single,Homemaker,KT,Individual,Medium,0.37
73,65+,Female,Seoul,Three-Person,Office Worker,KT,Triple-Play,Low,0.28
40,35-44,Female,Other Urban,Single,Office Worker,LG U+,Individual,High,0.83
62,55-64,Female,Other Urban,Two-Person,Retired/Unemployed,Other,Individual,Low,0.17
48,45-54,Female,Other Urban,Two-Person,Office Worker,KT,Triple-Play,High,0.86
5,5-12,Female,Other Urban,Two-Person,Student,LG U+,Individual,Low,0.06
46,45-54,Male,Seoul,Three-Person,Homemaker,SKB,Family,Low,0.41
73,65+,Male,Other Urban,Four-or-More,Retired/Unemployed,KT,Triple-Play,Medium,0.34
49,45-54,Female,Rural Areas,Single,Office Worker,LG U+,Individual,Medium,0.71
70,65+,Female,Other Urban,Three-Person,Homemaker,LG U+,Family,Low,0.31
67,65+,Male,Rural Areas,Single,Homemaker,KT,Individual,Low,0.21
28,25-34,Male,Other Urban,Two-Person,Office Worker,LG U+,Individual,Medium,0.69
30,25-34,Male,Other Urban,Two-Person,Student,LG U+,Family,Medium,0.24
51,45-54,Female,Other Urban,Single,Homemaker,SKB,Individual,Medium,0.22
35,35-44,Male,Seoul,Single,Service Industry,SKB,Individual,Low,0.08
87,65+,Male,Seoul,Two-Person,Homemaker,KT,Family,Medium,0.51
65,65+,Female,Other Urban,Single,Homemaker,KT,Triple-Play,Low,0.22
39,35-44,Male,Other Urban,Single,Service Industry,SKB,Triple-Play,Medium,0.15
30,25-34,Female,Seoul,Four-or-More,Office Worker,SKB,Triple-Play,Medium,0.79
56,55-64,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Medium,0.63
34,25-34,Male,Seoul,Two-Person,Office Worker,SKB,Family,High,0.39
89,65+,Male,Rural Areas,Single,Retired/Unemployed,LG U+,Triple-Play,Low,0.56
44,35-44,Male,Other Urban,Four-or-More,Service Industry,SKB,Family,Medium,0.25
60,55-64,Female,Seoul,Single,Retired/Unemployed,SKB,Triple-Play,Medium,0.19
14,13-17,Male,Other Urban,Two-Person,Student,LG U+,Individual,High,0.9
52,45-54,Male,Rural Areas,Two-Person,Office Worker,KT,Family,Medium,0.39
44,35-44,Male,Other Urban,Four-or-More,Office Worker,SKB,Family,High,0.81
45,45-54,Male,Rural Areas,Three-Person,Retired/Unemployed,KT,Family,Medium,0.22
23,18-24,Male,Seoul,Single,Office Worker,SKB,Individual,High,0.91
62,55-64,Male,Seoul,Three-Person,Homemaker,SKB,Triple-Play,Low,0.49
68,65+,Male,Other Urban,Three-Person,Office Worker,KT,Family,Low,0.35
34,25-34,Male,Other Urban,Four-or-More,Office Worker,KT,Triple-Play,High,0.55
17,13-17,Female,Seoul,Four-or-More,Student,KT,Family,High,0.85
2,0-4,Male,Other Urban,Two-Person,Student,SKB,Triple-Play,Low,0.31
53,45-54,Female,Rural Areas,Three-Person,Office Worker,KT,Family,High,0.76
48,45-54,Female,Other Urban,Two-Person,Office Worker,KT,Family,Medium,0.84
46,45-54,Female,Other Urban,Two-Person,Professional/Managerial,LG U+,Triple-Play,High,0.84
26,25-34,Male,Rural Areas,Single,Homemaker,KT,Triple-Play,Low,0.35
39,35-44,Male,Other Urban,Single,Service Industry,SKB,Individual,Medium,0.48
54,45-54,Male,Rural Areas,Single,Professional/Managerial,Other,Individual,High,0.78
53,45-54,Female,Other Urban,Four-or-More,Retired/Unemployed,LG U+,Family,Low,0.62
67,65+,Male,Rural Areas,Single,Homemaker,KT,Individual,Medium,0.46
16,13-17,Male,Other Urban,Single,Student,SKB,Triple-Play,High,0.92
60,55-64,Female,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.46
44,35-44,Female,Seoul,Two-Person,Office Worker,Other,Family,High,0.57
40,35-44,Female,Other Urban,Four-or-More,Office Worker,SKB,Triple-Play,Medium,0.4
57,55-64,Male,Seoul,Three-Person,Service Industry,SKB,Triple-Play,Low,0.8
59,55-64,Male,Other Urban,Single,Homemaker,Other,Individual,Low,0.32
67,65+,Female,Rural Areas,Four-or-More,Retired/Unemployed,KT,Triple-Play,Low,0.44
15,13-17,Male,Rural Areas,Single,Student,LG U+,Individual,High,0.92
15,13-17,Female,Rural Areas,Four-or-More,Student,SKB,Triple-Play,High,0.65
55,55-64,Female,Rural Areas,Single,Professional/Managerial,Other,Triple-Play,Low,0.36
51,45-54,Female,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Low,0.08
28,25-34,Female,Rural Areas,Single,Retired/Unemployed,KT,Triple-Play,Low,0.03
10,5-12,Female,Rural Areas,Four-or-More,Student,KT,Family,Low,0.43
11,5-12,Female,Other Urban,Single,Student,KT,Individual,Low,0.2
83,65+,Male,Other Urban,Single,Homemaker,KT,Triple-Play,Medium,0.27
21,18-24,Female,Rural Areas,Four-or-More,Service Industry,SKB,Triple-Play,Medium,0.21
29,25-34,Male,Seoul,Single,Office Worker,SKB,Triple-Play,High,0.68
29,25-34,Male,Other Urban,Three-Person,Professional/Managerial,SKB,Triple-Play,High,0.81
36,35-44,Female,Other Urban,Three-Person,Office Worker,LG U+,Family,Medium,0.2
7,5-12,Male,Other Urban,Two-Person,Student,KT,Triple-Play,Low,0.4
54,45-54,Female,Rural Areas,Two-Person,Office Worker,LG U+,Individual,Medium,0.47
8,5-12,Male,Other Urban,Four-or-More,Student,Other,Family,Low,0.42
56,55-64,Male,Other Urban,Four-or-More,Retired/Unemployed,SKB,Triple-Play,Low,0.09
28,25-34,Female,Seoul,Two-Person,Professional/Managerial,KT,Family,High,0.77
48,45-54,Male,Seoul,Single,Service Industry,KT,Triple-Play,Medium,0.56
68,65+,Male,Other Urban,Single,Retired/Unemployed,KT,Individual,Low,0.48
60,55-64,Male,Other Urban,Single,Office Worker,LG U+,Individual,Low,0.05
46,45-54,Male,Rural Areas,Two-Person,Professional/Managerial,KT,Individual,High,0.76
30,25-34,Female,Other Urban,Four-or-More,Student,LG U+,Family,High,0.8
31,25-34,Male,Other Urban,Three-Person,Professional/Managerial,LG U+,Family,Medium,0.4
64,55-64,Female,Rural Areas,Three-Person,Homemaker,SKB,Family,Low,0.19
83,65+,Female,Seoul,Two-Person,Retired/Unemployed,KT,Family,Low,0.32
62,55-64,Female,Other Urban,Single,Homemaker,SKB,Triple-Play,Medium,0.66
46,45-54,Female,Other Urban,Three-Person,Service Industry,LG U+,Family,Low,0.25
62,55-64,Male,Seoul,Three-Person,Homemaker,KT,Family,Medium,0.67
39,35-44,Male,Rural Areas,Three-Person,Office Worker,Other,Family,Medium,0.2
6,5-12,Male,Rural Areas,Single,Student,LG U+,Individual,Low,0.45
51,45-54,Female,Other Urban,Two-Person,Homemaker,SKB,Family,Low,0.48
82,65+,Male,Other Urban,Single,Homemaker,SKB,Individual,Medium,0.42
23,18-24,Male,Other Urban,Single,Office Worker,SKB,Individual,Medium,0.63
60,55-64,Female,Other Urban,Three-Person,Office Worker,SKB,Family,Low,0.07
19,18-24,Female,Other Urban,Single,Student,SKB,Individual,High,0.64
47,45-54,Male,Other Urban,Four-or-More,Service Industry,KT,Triple-Play,Low,0.54
13,13-17,Male,Seoul,Single,Student,KT,Triple-Play,High,0.8
37,35-44,Male,Rural Areas,Two-Person,Office Worker,KT,Family,Medium,0.55
57,55-64,Male,Rural Areas,Three-Person,Office Worker,SKB,Triple-Play,Low,0.48
39,35-44,Female,Other Urban,Two-Person,Office Worker,SKB,Family,High,0.59
61,55-64,Female,Seoul,Three-Person,Retired/Unemployed,LG U+,Triple-Play,Low,0.59
62,55-64,Male,Seoul,Three-Person,Retired/Unemployed,KT,Triple-Play,Low,0.38
75,65+,Female,Other Urban,Four-or-More,Retired/Unemployed,KT,Family,Low,0.19
31,25-34,Male,Other Urban,Single,Office Worker,KT,Individual,Medium,0.78
43,35-44,Male,Other Urban,Single,Professional/Managerial,KT,Triple-Play,Medium,0.26
22,18-24,Male,Other Urban,Two-Person,Service Industry,KT,Family,Low,0.42
74,65+,Male,Seoul,Three-Person,Retired/Unemployed,LG U+,Triple-Play,Low,0.37
75,65+,Female,Other Urban,Two-Person,Office Worker,LG U+,Family,Low,0.3
47,45-54,Male,Other Urban,Single,Professional/Managerial,Other,Triple-Play,High,0.68
80,65+,Male,Other Urban,Single,Retired/Unemployed,KT,Triple-Play,Low,0.39
50,45-54,Male,Other Urban,Single,Service Industry,LG U+,Individual,Medium,0.39
49,45-54,Male,Other Urban,Three-Person,Service Industry,LG U+,Family,Low,0.33
8,5-12,Female,Seoul,Single,Student,LG U+,Triple-Play,Low,0.48
58,55-64,Male,Other Urban,Single,Retired/Unemployed,KT,Triple-Play,Low,0.22
16,13-17,Male,Rural Areas,Single,Student,SKB,Individual,High,0.64
82,65+,Female,Other Urban,Three-Person,Retired/Unemployed,LG U+,Family,Low,0.38
61,55-64,Male,Other Urban,Four-or-More,Retired/Unemployed,LG U+,Triple-Play,Medium,0.67
59,55-64,Male,Seoul,Two-Person,Retired/Unemployed,LG U+,Family,Low,0.37
8,5-12,Male,Rural Areas,Single,Student,KT,Individual,Low,0.4
32,25-34,Female,Rural Areas,Single,Office Worker,KT,Triple-Play,High,0.94
33,25-34,Male,Other Urban,Two-Person,Professional/Managerial,Other,Family,High,0.88
43,35-44,Male,Seoul,Two-Person,Office Worker,SKB,Triple-Play,Medium,0.64
7,5-12,Male,Other Urban,Two-Person,Student,LG U+,Triple-Play,Low,0.21
67,65+,Female,Rural Areas,Four-or-More,Retired/Unemployed,SKB,Triple-Play,Medium,0.7
49,45-54,Female,Other Urban,Four-or-More,Service Industry,LG U+,Family,Low,0.14
29,25-34,Male,Rural Areas,Single,Homemaker,KT,Triple-Play,Low,0.25
44,35-44,Male,Other Urban,Single,Office Worker,KT,Individual,High,0.69
36,35-44,Female,Other Urban,Two-Person,Office Worker,SKB,Family,High,0.78
45,45-54,Female,Rural Areas,Two-Person,Office Worker,SKB,Family,Medium,0.3
52,45-54,Female,Rural Areas,Two-Person,Retired/Unemployed,KT,Family,Low,0.21
83,65+,Male,Other Urban,Three-Person,Retired/Unemployed,LG U+,Family,Low,0.34
45,45-54,Female,Other Urban,Single,Service Industry,SKB,Triple-Play,Medium,0.52
81,65+,Female,Other Urban,Three-Person,Homemaker,Other,Triple-Play,Low,0.23
75,65+,Female,Other Urban,Two-Person,Homemaker,KT,Triple-Play,Low,0.35
24,18-24,Male,Other Urban,Four-or-More,Office Worker,KT,Triple-Play,Medium,0.47
66,65+,Female,Other Urban,Three-Person,Retired/Unemployed,Other,Family,Low,0.16
15,13-17,Female,Other Urban,Three-Person,Student,LG U+,Family,High,0.75
76,65+,Male,Seoul,Single,Retired/Unemployed,LG U+,Individual,Low,0.22
38,35-44,Female,Other Urban,Three-Person,Service Industry,KT,Family,Medium,0.62
76,65+,Female,Seoul,Single,Homemaker,Other,Individual,Low,0.22
77,65+,Male,Seoul,Three-Person,Homemaker,LG U+,Triple-Play,Low,0.33
56,55-64,Female,Seoul,Single,Retired/Unemployed,LG U+,Individual,Low,0.54
56,55-64,Male,Other Urban,Single,Homemaker,Other,Individual,Low,0.3
31,25-34,Female,Other Urban,Single,Office Worker,SKB,Individual,High,0.89
9,5-12,Male,Seoul,Single,Student,SKB,Individual,Low,0.67
35,35-44,Female,Other Urban,Single,Professional/Managerial,SKB,Individual,High,0.64
24,18-24,Male,Other Urban,Four-or-More,Student,LG U+,Triple-Play,Medium,0.6
55,55-64,Female,Other Urban,Single,Retired/Unemployed,LG U+,Individual,Low,0.12
40,35-44,Female,Seoul,Three-Person,Service Industry,SKB,Family,Medium,0.65
83,65+,Male,Rural Areas,Single,Professional/Managerial,KT,Individual,Low,0.33
52,45-54,Male,Rural Areas,Two-Person,Professional/Managerial,LG U+,Family,High,0.58
70,65+,Female,Seoul,Single,Professional/Managerial,LG U+,Individual,Low,0.28
15,13-17,Male,Other Urban,Single,Student,KT,Individual,High,0.94
82,65+,Female,Other Urban,Single,Homemaker,SKB,Individual,Low,0.39
88,65+,Male,Other Urban,Two-Person,Retired/Unemployed,Other,Family,Low,0.35
39,35-44,Female,Other Urban,Single,Professional/Managerial,KT,Individual,High,0.95
52,45-54,Male,Other Urban,Four-or-More,Office Worker,KT,Triple-Play,Medium,0.59
62,55-64,Female,Seoul,Two-Person,Retired/Unemployed,KT,Family,Low,0.1
23,18-24,Female,Rural Areas,Four-or-More,Student,KT,Family,High,0.59
46,45-54,Female,Other Urban,Four-or-More,Service Industry,KT,Family,Medium,0.39
42,35-44,Female,Other Urban,Three-Person,Office Worker,LG U+,Triple-Play,Medium,0.58
24,18-24,Male,Seoul,Four-or-More,Office Worker,KT,Triple-Play,Medium,0.3
40,35-44,Male,Seoul,Single,Office Worker,LG U+,Individual,Medium,0.48
10,5-12,Male,Other Urban,Three-Person,Student,KT,Triple-Play,Low,0.3
0,0-4,Female,Other Urban,Single,Student,Other,Individual,Low,0.15
14,13-17,Female,Other Urban,Two-Person,Student,KT,Triple-Play,High,0.64
76,65+,Male,Seoul,Three-Person,Retired/Unemployed,SKB,Family,Medium,0.32
53,45-54,Male,Seoul,Four-or-More,Office Worker,KT,Family,High,0.7
75,65+,Female,Other Urban,Four-or-More,Retired/Unemployed,SKB,Triple-Play,Low,0.2
42,35-44,Male,Other Urban,Single,Office Worker,KT,Triple-Play,Medium,0.38
31,25-34,Male,Rural Areas,Two-Person,Service Industry,SKB,Triple-Play,Medium,0.46
51,45-54,Male,Other Urban,Three-Person,Professional/Managerial,KT,Family,Medium,0.52
39,35-44,Female,Other Urban,Three-Person,Office Worker,LG U+,Family,Medium,0.31
14,13-17,Female,Rural Areas,Single,Student,KT,Individual,Medium,0.68
